birthday,education;classes;description,education;classes;from;id,education;classes;from;name,education;classes;id,education;classes;name,education;classes;with;id,education;classes;with;name,education;concentration;id,education;concentration;name,education;degree;id,education;degree;name,education;school;id,education;school;name,education;type,education;with;id,education;with;name,education;year;id,education;year;name,first_name,gender,hometown;id,hometown;name,id,languages;id,languages;name,last_name,locale,location,location;id,location;name,middle_name,name,political,religion,work;description,work;employer;id,work;employer;name,work;end_date,work;from;id,work;from;name,work;location;id,work;location;name,work;position;id,work;position;name,work;projects;description,work;projects;end_date,work;projects;from;id,work;projects;from;name,work;projects;id,work;projects;name,work;projects;start_date,work;projects;with;id,work;projects;with;name,work;start_date,work;with;id,work;with;name
10.0,,,,,,,,8.0,8.0,,,1.0,1.0,1.0,,,1.0,1.0,13.0,1.0,1.0,1.0,13.0,,,13.0,0.0,,0.0,0.0,,13.0,,,,14.0,14.0,5.0,,,,,9.0,8.0,,,,,0.0,0.0,,,,2.0,,
,,,,,,,,,,,,,,,,,,,14.0,1.0,,,14.0,,,14.0,2.0,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,
11.0,,,,,,,,9.0,9.0,,,11.0,11.0,1.0,,,1.0,1.0,15.0,1.0,1.0,1.0,15.0,3.0,3.0,15.0,0.0,,6.0,6.0,,15.0,,,,15.0,15.0,,,,,,10.0,9.0,,,,,,,,,,7.0,,
,,,,,,,,10.0,10.0,,,1.0,1.0,1.0,,,6.0,2.0,16.0,0.0,7.0,7.0,16.0,,,16.0,0.0,,0.0,0.0,,16.0,,,,16.0,16.0,6.0,,,,,11.0,10.0,,,,,,,,,,8.0,,
,,,,,,,,,,,,,,,,,,,17.0,0.0,,,17.0,,,17.0,0.0,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,
12.0,,,,,,,,11.0,11.0,,,1.0,1.0,1.0,,,1.0,1.0,18.0,0.0,8.0,8.0,18.0,2.0,2.0,18.0,0.0,,0.0,0.0,,18.0,,,,17.0,17.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,19.0,1.0,,,19.0,,,19.0,0.0,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,
13.0,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,20.0,0.0,0.0,0.0,20.0,5.0,5.0,20.0,1.0,,7.0,7.0,1.0,20.0,,,,18.0,18.0,,,,4.0,4.0,12.0,11.0,,,,,,,,,,2.0,,
14.0,,,,,,,,,,,,,,,,,,,21.0,1.0,1.0,1.0,21.0,2.0,2.0,21.0,0.0,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,
15.0,,,,,,,,,,,,1.0,1.0,1.0,,,9.0,8.0,22.0,1.0,3.0,3.0,22.0,0.0,0.0,22.0,0.0,,0.0,0.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,
16.0,,,,3.0,3.0,4.0,4.0,12.0,12.0,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,23.0,1.0,9.0,9.0,23.0,,,23.0,0.0,,0.0,0.0,,23.0,,,,19.0,19.0,,,,,,,,,,,,4.0,4.0,,0.0,0.0,,,
17.0,,,,,,,,13.0,13.0,,,1.0,1.0,1.0,,,10.0,9.0,24.0,1.0,10.0,10.0,24.0,0.0,0.0,24.0,0.0,,0.0,0.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,21.0,21.0,0.0,,,,,25.0,1.0,,,25.0,,,25.0,0.0,,,,,25.0,,,,20.0,20.0,,,,,,,,,,,,,,,,,,,
18.0,,,,,,,,,,,,23.0,23.0,0.0,,,,,26.0,1.0,1.0,1.0,26.0,,,26.0,1.0,,5.0,5.0,,26.0,,,,22.0,22.0,,,,,,,,,,,,,,,,,,,
19.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,27.0,1.0,11.0,11.0,27.0,,,27.0,1.0,,8.0,8.0,,27.0,,,,24.0,24.0,,,,,,13.0,12.0,,,,,,,,,,2.0,,
20.0,,,,5.0,5.0,,,,,,,26.0,26.0,1.0,,,0.0,0.0,28.0,1.0,0.0,0.0,28.0,,,28.0,0.0,,7.0,7.0,,28.0,,,,25.0,25.0,,,,,,,,,,,,,,,,,2.0,,
21.0,,,,,,,,14.0,14.0,,,30.0,30.0,1.0,,,10.0,9.0,29.0,0.0,12.0,12.0,29.0,17.0,11.0,29.0,0.0,,9.0,9.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,30.0,1.0,,,30.0,,,30.0,1.0,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,
22.0,,,,,,,,15.0,15.0,,,31.0,31.0,1.0,,,10.0,9.0,31.0,0.0,13.0,13.0,31.0,,,31.0,0.0,,5.0,5.0,,31.0,,,,,,,,,,,,,,,,,,,,,,,,
23.0,,,,,,,,,,,,33.0,33.0,1.0,,,1.0,1.0,32.0,0.0,14.0,14.0,32.0,,,32.0,0.0,,10.0,10.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,
24.0,,,,,,,,16.0,16.0,,,1.0,1.0,1.0,,,1.0,1.0,33.0,0.0,15.0,15.0,33.0,,,33.0,0.0,,0.0,0.0,,33.0,,,0.0,29.0,29.0,8.0,,,5.0,5.0,17.0,16.0,,,,,,,,,,12.0,,
25.0,,,,,,,,17.0,17.0,,,1.0,1.0,1.0,,,10.0,9.0,4.0,0.0,16.0,16.0,34.0,,,34.0,0.0,,0.0,0.0,,34.0,,,,31.0,31.0,7.0,,,6.0,6.0,18.0,17.0,,,,,,,,,,13.0,,
26.0,,,,,,,,18.0,18.0,,,38.0,38.0,1.0,,,12.0,10.0,34.0,1.0,17.0,17.0,35.0,19.0,17.0,35.0,0.0,,11.0,11.0,,35.0,,,,32.0,32.0,,,,,,0.0,0.0,,,,,,,,,,,,
27.0,,,,7.0,7.0,,,,,,,1.0,1.0,1.0,,,10.0,9.0,35.0,1.0,3.0,3.0,36.0,,,36.0,0.0,,0.0,0.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,
28.0,,,,,,,,,,,,40.0,40.0,1.0,,,13.0,11.0,32.0,0.0,18.0,18.0,37.0,20.0,18.0,37.0,1.0,,12.0,12.0,2.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,
29.0,,,,,,,,19.0,19.0,,,3.0,3.0,1.0,,,12.0,10.0,36.0,1.0,19.0,19.0,38.0,2.0,2.0,38.0,0.0,,5.0,5.0,,38.0,,,,33.0,33.0,9.0,,,,,,,,,,,,,,,,3.0,,
30.0,,,,,,,,20.0,20.0,,,11.0,11.0,1.0,,,1.0,1.0,37.0,1.0,1.0,1.0,39.0,,,39.0,0.0,,6.0,6.0,,39.0,,,,34.0,34.0,,,,,,19.0,18.0,,,,,,,,,,2.0,,
31.0,,,,,,,,,,,,3.0,3.0,1.0,,,10.0,9.0,32.0,0.0,,,40.0,,,40.0,1.0,,13.0,13.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,,
32.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,38.0,0.0,20.0,20.0,41.0,4.0,4.0,41.0,0.0,,14.0,14.0,3.0,41.0,,,,35.0,35.0,,,,,,,,,,,,,,,,,2.0,,
,,,,,,,,21.0,21.0,0.0,0.0,42.0,42.0,2.0,,,15.0,13.0,39.0,0.0,21.0,21.0,42.0,,,42.0,0.0,,0.0,0.0,,42.0,,,1.0,38.0,38.0,5.0,,,7.0,7.0,21.0,20.0,,,,,,,,,,2.0,,
,,,,,,,,,,,,,,,,,,,40.0,1.0,,,43.0,,,43.0,0.0,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,
33.0,,,,8.0,8.0,,,,,,,1.0,1.0,1.0,,,10.0,9.0,41.0,1.0,22.0,22.0,44.0,,,44.0,0.0,,0.0,0.0,,44.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,42.0,0.0,,,45.0,,,45.0,0.0,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,
34.0,,,,,,,,,,,,44.0,44.0,1.0,,,0.0,0.0,43.0,0.0,14.0,14.0,46.0,15.0,0.0,46.0,1.0,,15.0,15.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,,
35.0,,,,,,,,22.0,22.0,,,11.0,11.0,1.0,,,10.0,9.0,44.0,1.0,1.0,1.0,47.0,,,47.0,0.0,,5.0,5.0,,47.0,,,,,,,,,,,,,,,,,,,,,,,,
36.0,,,,9.0,9.0,,,24.0,24.0,,,45.0,45.0,1.0,,,1.0,1.0,45.0,1.0,23.0,23.0,48.0,2.0,2.0,48.0,0.0,,16.0,16.0,,48.0,,,,39.0,39.0,11.0,,,8.0,8.0,22.0,21.0,,,,,5.0,5.0,0.0,,,15.0,,
,,,,,,,,,,,,,,,,,,,46.0,1.0,,,49.0,,,49.0,1.0,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,
37.0,,,,6.0,6.0,7.0,7.0,,,,,1.0,1.0,1.0,,,10.0,9.0,47.0,0.0,24.0,24.0,50.0,24.0,21.0,50.0,1.0,,0.0,0.0,,50.0,,,2.0,41.0,41.0,12.0,,,9.0,9.0,24.0,23.0,,,,,,,,,,17.0,,
38.0,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,48.0,0.0,25.0,25.0,51.0,,,51.0,0.0,,17.0,17.0,,51.0,,,3.0,42.0,42.0,5.0,,,,,25.0,24.0,,,,,,,,,,2.0,,
39.0,,,,,,,,25.0,25.0,,,1.0,1.0,1.0,,,6.0,2.0,49.0,1.0,26.0,26.0,52.0,,,52.0,0.0,,0.0,0.0,4.0,52.0,,,4.0,45.0,45.0,5.0,,,1.0,1.0,26.0,25.0,,,,,,,,,,2.0,,
,,,,,,,,,,,,,,,,,,,8.0,1.0,,,53.0,,,53.0,1.0,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,
40.0,,,,,,,,26.0,26.0,,,50.0,50.0,1.0,,,0.0,0.0,50.0,1.0,,,54.0,,,54.0,0.0,,18.0,18.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,
41.0,,,,,,,,,,,,45.0,45.0,1.0,,,15.0,13.0,51.0,0.0,27.0,27.0,55.0,,,55.0,0.0,,19.0,19.0,,55.0,,,,46.0,46.0,5.0,,,,,,,,,,,,,,,,2.0,,
42.0,,1.0,1.0,11.0,10.0,18.0,18.0,,,,,1.0,1.0,1.0,,,1.0,1.0,52.0,1.0,,,56.0,,,56.0,0.0,,0.0,0.0,,56.0,,,,50.0,50.0,5.0,,,1.0,1.0,27.0,26.0,,,,,,,,,,4.0,,
,,,,,,,,,,,,,,,,,,,53.0,1.0,,,57.0,,,57.0,2.0,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,
43.0,,,,,,,,,,,,1.0,1.0,1.0,,,17.0,15.0,54.0,0.0,20.0,20.0,58.0,,,58.0,1.0,,0.0,0.0,,58.0,,,,51.0,51.0,,,,10.0,10.0,,,,,,,,,,,,19.0,,
44.0,,,,,,,,,,,,54.0,54.0,1.0,,,1.0,1.0,55.0,1.0,28.0,28.0,59.0,,,59.0,1.0,,0.0,0.0,,59.0,,,,,,,,,,,,,,,,,,,,,,,,
45.0,,2.0,2.0,12.0,11.0,19.0,19.0,,,,,38.0,38.0,1.0,,,,,44.0,1.0,1.0,1.0,60.0,,,60.0,1.0,,11.0,11.0,,60.0,,,,52.0,52.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,56.0,1.0,,,61.0,,,61.0,0.0,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,
46.0,,,,,,,,27.0,27.0,,,45.0,45.0,1.0,,,10.0,9.0,57.0,1.0,20.0,20.0,62.0,0.0,0.0,62.0,0.0,,5.0,5.0,,62.0,,,,54.0,54.0,,,,,,0.0,0.0,,,,,,,,,,20.0,6.0,6.0
47.0,,,,13.0,12.0,,,28.0,28.0,,,1.0,1.0,1.0,,,10.0,9.0,58.0,1.0,29.0,29.0,63.0,2.0,2.0,63.0,1.0,,0.0,0.0,5.0,63.0,,,,55.0,55.0,6.0,,,,,,,,,,,,,,,,0.0,,
4.0,,,,,,,,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,59.0,1.0,30.0,30.0,64.0,,,64.0,0.0,,0.0,0.0,,64.0,,,5.0,57.0,57.0,,,,11.0,11.0,28.0,27.0,,,,,,,,,,2.0,,
48.0,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,60.0,0.0,5.0,5.0,65.0,,,65.0,0.0,,20.0,20.0,,65.0,,,,59.0,59.0,1.0,,,0.0,0.0,14.0,13.0,,,,,,,,,,22.0,7.0,7.0
49.0,,,,14.0,13.0,,,29.0,29.0,,,1.0,1.0,1.0,,,18.0,1.0,61.0,1.0,,,66.0,,,66.0,3.0,,21.0,21.0,,66.0,,,,,,,,,,,,,,,,,,,,,,,,
50.0,,3.0,3.0,16.0,15.0,20.0,20.0,,,,,1.0,1.0,1.0,,,0.0,0.0,62.0,1.0,31.0,31.0,67.0,,,67.0,0.0,,0.0,0.0,,67.0,,,,60.0,60.0,,,,,,,,,,,,,,,,,2.0,,
51.0,,,,,,,,30.0,30.0,,,1.0,1.0,1.0,,,10.0,9.0,24.0,1.0,32.0,32.0,68.0,2.0,2.0,68.0,0.0,,0.0,0.0,,68.0,,,,,,,,,,,,,,,,,,,,,,,,
52.0,,,,,,,,,,,,,,,,,,,63.0,1.0,,,69.0,,,69.0,0.0,,0.0,0.0,,69.0,,,,,,,,,,,,,,,,,,,,,,,,
53.0,,,,,,,,31.0,31.0,,,62.0,62.0,1.0,,,10.0,9.0,64.0,1.0,33.0,33.0,70.0,,,70.0,1.0,,22.0,22.0,,70.0,,,,61.0,61.0,,,,,,3.0,3.0,,,,,,,,,,,,
54.0,,,,,,,,8.0,8.0,,,1.0,1.0,1.0,,,10.0,9.0,65.0,1.0,34.0,34.0,71.0,0.0,0.0,71.0,1.0,,0.0,0.0,,71.0,,,,38.0,38.0,,,,,,30.0,29.0,,,,,,,,,,2.0,,
55.0,,,,,,,,33.0,33.0,,,66.0,66.0,1.0,,,0.0,0.0,60.0,0.0,35.0,35.0,72.0,,,72.0,1.0,,12.0,12.0,,72.0,,,,62.0,62.0,,,,12.0,12.0,31.0,30.0,,,,,,,,,,7.0,,
56.0,,,,,,,,34.0,34.0,,,1.0,1.0,1.0,,,1.0,1.0,8.0,1.0,11.0,11.0,73.0,,,73.0,0.0,,0.0,0.0,,73.0,,,7.0,67.0,67.0,12.0,,,13.0,13.0,35.0,34.0,,,,,,,,,,25.0,,
57.0,,,,,,,,38.0,38.0,,,1.0,1.0,1.0,,,1.0,1.0,66.0,1.0,36.0,36.0,74.0,,,74.0,0.0,,0.0,0.0,6.0,74.0,,,,68.0,68.0,,,,,,36.0,35.0,,,,,,,,,,2.0,,
58.0,,,,,,,,39.0,39.0,,,70.0,9.0,1.0,9.0,9.0,0.0,0.0,67.0,0.0,20.0,20.0,75.0,,,75.0,0.0,,18.0,18.0,,75.0,,,,52.0,52.0,,,,14.0,14.0,37.0,36.0,,,,,,,,,,26.0,,
59.0,,,,,,,,37.0,37.0,,,3.0,3.0,1.0,,,0.0,0.0,68.0,0.0,1.0,1.0,76.0,,,76.0,0.0,,23.0,23.0,,76.0,,,,69.0,69.0,,,,15.0,15.0,38.0,37.0,,,,,,,,,,2.0,,
,,,,,,,,,,,,,,,,,,,69.0,0.0,,,77.0,,,77.0,0.0,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,42.0,42.0,,,1.0,1.0,1.0,,,6.0,2.0,70.0,0.0,37.0,37.0,78.0,17.0,11.0,78.0,0.0,,0.0,0.0,,78.0,,,,,,,,,,,,,,,,,,,,,,,,
60.0,,,,,,,,43.0,43.0,,,73.0,72.0,1.0,,,6.0,2.0,71.0,1.0,38.0,38.0,79.0,28.0,24.0,79.0,0.0,,5.0,5.0,,79.0,,,,,,,,,,,,,,,,,,,,,,,,
61.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,72.0,0.0,3.0,3.0,80.0,,,80.0,0.0,,0.0,0.0,,80.0,,,,,,,,,,,,,,,,,,,,,,,,
62.0,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,32.0,0.0,20.0,20.0,81.0,,,81.0,0.0,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,73.0,0.0,39.0,39.0,82.0,5.0,5.0,82.0,0.0,,0.0,0.0,,82.0,,,,70.0,70.0,9.0,,,,,39.0,38.0,,,,,,,,,,5.0,,
64.0,,,,,,,,44.0,44.0,,,75.0,74.0,1.0,,,6.0,2.0,74.0,1.0,33.0,33.0,83.0,,,83.0,0.0,,24.0,24.0,,83.0,,,,,,,,,,,,,,,,,,,,,,,,
65.0,,,,,,,,,,,,38.0,38.0,1.0,,,,,75.0,0.0,1.0,1.0,84.0,,,84.0,0.0,,11.0,11.0,,84.0,,,,71.0,71.0,,,,,,,,,,,,,,,,,,,
66.0,,,,,,,,,,,,1.0,1.0,1.0,,,0.0,0.0,60.0,0.0,2.0,2.0,85.0,29.0,25.0,85.0,0.0,,0.0,0.0,1.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,
67.0,,,,,,,,45.0,45.0,,,1.0,1.0,1.0,,,1.0,1.0,76.0,1.0,,,86.0,,,86.0,1.0,,0.0,0.0,,86.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,77.0,1.0,,,87.0,,,87.0,1.0,,0.0,0.0,,87.0,,,,,,,,,,,,,,,,,,,,,,,,
68.0,,,,,,,,46.0,46.0,,,77.0,76.0,1.0,,,1.0,1.0,78.0,0.0,20.0,20.0,88.0,30.0,26.0,88.0,0.0,,6.0,6.0,,88.0,,,,,,,,,,,,,,,,,,,,,,,,
69.0,,,,,,,,47.0,47.0,,,78.0,77.0,1.0,,,1.0,1.0,79.0,0.0,40.0,40.0,89.0,0.0,0.0,89.0,0.0,,0.0,0.0,,89.0,,,,,,,,,,,,,,,,,,,,,,,,
70.0,,,,17.0,16.0,,,48.0,48.0,,,80.0,79.0,1.0,,,10.0,9.0,80.0,1.0,19.0,19.0,90.0,,,90.0,0.0,,25.0,25.0,,90.0,,,,73.0,73.0,1.0,,,,,40.0,39.0,,,,,,,,,,27.0,,
71.0,,,,,,,,50.0,50.0,,,44.0,44.0,1.0,,,10.0,9.0,81.0,0.0,2.0,2.0,91.0,0.0,0.0,91.0,0.0,,10.0,10.0,,91.0,,,8.0,78.0,78.0,5.0,,,16.0,16.0,46.0,45.0,,,,,,,,,,2.0,8.0,8.0
72.0,,,,,,,,,,,,1.0,1.0,1.0,,,4.0,4.0,82.0,0.0,,,92.0,,,92.0,0.0,,0.0,0.0,,92.0,,,,,,,,,,,,,,,,,,,,,,,,
73.0,,,,,,,,29.0,29.0,,,1.0,1.0,1.0,,,10.0,9.0,80.0,1.0,,,93.0,0.0,0.0,68.0,0.0,,0.0,0.0,,93.0,,,,,,,,,,,,,,,,,,,,,,,,
74.0,,,,20.0,19.0,,,53.0,53.0,,,85.0,84.0,1.0,,,20.0,15.0,83.0,1.0,33.0,33.0,94.0,34.0,29.0,93.0,0.0,,26.0,26.0,7.0,94.0,,,,81.0,81.0,5.0,,,,,49.0,48.0,,,,,,,,,,2.0,,
75.0,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,84.0,0.0,41.0,41.0,95.0,38.0,33.0,94.0,0.0,,5.0,5.0,,95.0,,,9.0,85.0,85.0,7.0,,,18.0,18.0,51.0,50.0,,,,,,,,,,32.0,,
76.0,,,,,,,,,,,,,,,,,,,33.0,0.0,,,96.0,,,95.0,1.0,,0.0,0.0,,96.0,,,,,,,,,,,,,,,,,,,,,,,,
77.0,,,,19.0,18.0,,,,,,,3.0,3.0,1.0,,,0.0,0.0,85.0,0.0,42.0,42.0,97.0,,,96.0,0.0,,5.0,5.0,,97.0,,,,,,,,,,,,,,,,,,,,,,,,
78.0,,,,22.0,21.0,,,,,,,86.0,85.0,1.0,,,1.0,1.0,86.0,0.0,43.0,43.0,98.0,,,97.0,0.0,,0.0,0.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,,
79.0,,4.0,4.0,34.0,33.0,21.0,21.0,,,,,87.0,86.0,0.0,,,,,87.0,1.0,14.0,14.0,99.0,,,98.0,4.0,,15.0,15.0,,99.0,,,,86.0,86.0,,,,,,52.0,51.0,,,,,,,,,,,,
80.0,,,,,,,,,,,,40.0,40.0,1.0,,,0.0,0.0,88.0,0.0,44.0,44.0,100.0,,,99.0,0.0,,27.0,27.0,8.0,100.0,,,10.0,88.0,88.0,7.0,,,0.0,0.0,54.0,53.0,,,,,,,,,,34.0,,
,,,,,,,,,,,,,,,,,,,89.0,1.0,,,101.0,,,100.0,0.0,,,,,101.0,,,,,,,,,,,,,,,,,,,,,,,,
81.0,,,,,,,,54.0,54.0,,,90.0,4.0,1.0,,,1.0,1.0,67.0,0.0,45.0,45.0,102.0,39.0,34.0,30.0,0.0,,2.0,2.0,,102.0,,,,90.0,90.0,5.0,,,,,56.0,13.0,,,,,,,,,,2.0,,
82.0,,,,,,,,,,,,,,,,,,,37.0,1.0,46.0,46.0,103.0,,,101.0,0.0,,28.0,28.0,,103.0,,,,,,,,,,,,,,,,,,,,,,,,
83.0,,5.0,5.0,3.0,3.0,22.0,22.0,55.0,55.0,,,1.0,1.0,1.0,,,1.0,1.0,75.0,1.0,47.0,47.0,104.0,,,102.0,5.0,,29.0,29.0,,104.0,,,,19.0,19.0,19.0,,,,,,,,,0.0,0.0,3.0,3.0,,4.0,4.0,12.0,,
,,,,,,,,56.0,56.0,,,94.0,92.0,1.0,,,1.0,1.0,90.0,1.0,,,105.0,18.0,16.0,103.0,0.0,,6.0,6.0,,105.0,,,,92.0,92.0,,,,6.0,6.0,57.0,55.0,,,,,,,,,,34.0,,
84.0,,,,49.0,47.0,,,57.0,57.0,,,1.0,1.0,1.0,,,10.0,9.0,91.0,0.0,48.0,48.0,106.0,4.0,4.0,104.0,0.0,,0.0,0.0,,106.0,,,,93.0,93.0,0.0,,,19.0,19.0,58.0,56.0,,,,,,,,,,35.0,,
85.0,,,,,,,,8.0,8.0,,,1.0,1.0,1.0,,,6.0,2.0,92.0,,49.0,49.0,107.0,,,105.0,0.0,,9.0,9.0,,107.0,,,,,,,,,,,,,,,,,,,,,,,,
86.0,,,,,,,,,,,,0.0,0.0,0.0,,,,,93.0,1.0,19.0,19.0,108.0,19.0,17.0,106.0,0.0,,30.0,30.0,,108.0,,,16.0,99.0,99.0,5.0,,,14.0,14.0,64.0,62.0,,,,,,,,,,2.0,,
87.0,,,,,,,,58.0,58.0,,,97.0,95.0,1.0,,,1.0,1.0,94.0,1.0,50.0,50.0,109.0,,,107.0,0.0,,11.0,11.0,,109.0,,,,100.0,100.0,9.0,,,16.0,16.0,65.0,63.0,,,,,,,,,,3.0,,
88.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,49.0,1.0,51.0,51.0,110.0,,,108.0,1.0,,0.0,0.0,,110.0,,,,,,,,,,,,,,,,,,,,,,,,
89.0,,,,,,,,,,,,99.0,97.0,1.0,,,,,95.0,0.0,,,111.0,,,109.0,1.0,,0.0,0.0,,111.0,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,96.0,0.0,52.0,52.0,112.0,2.0,2.0,110.0,0.0,,0.0,0.0,,112.0,,,,101.0,101.0,5.0,,,,,,,,,,,,,,,,2.0,,
90.0,,,,,,,,59.0,59.0,,,1.0,1.0,1.0,,,1.0,1.0,97.0,1.0,53.0,53.0,113.0,,,111.0,6.0,,31.0,31.0,,113.0,,,,,,,,,,,,,,,,,,,,,,,,
91.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,98.0,0.0,54.0,54.0,114.0,17.0,11.0,112.0,5.0,,29.0,29.0,,114.0,,,,102.0,102.0,,,,,,66.0,64.0,,,,,,,,,,2.0,,
